State,VoteShareD,WinProbD,VoteShareR,WinProbR,VoteShareL,WinProbL
PA,54.7,98,45.3,2,0,0
WI,54.6,99,45.4,1,0,0
WY,29.4,0.5,70.6,99.5,0,0
GA,49.1,25,50.9,75,0,0
CA,64.1,99.5,35.9,0.5,0,0
TX,46.8,1,53.2,99,0,0
ND,39.3,0.5,60.7,99.5,0,0
NM,56.4,99,43.6,1,0,0
IL,61.5,99.5,38.5,0.5,0,0
NJ,57.1,99.5,42.9,0.5,0,0
NE,39.9,0.5,60.1,99.5,0,0
AK,46.7,1,53.3,99,0,0
MS,46.5,1,53.5,99,0,0
TN,42.3,0.5,57.7,99.5,0,0
AZ,50.7,30,49.3,70,0,0
MT,42.7,0.5,57.3,99.5,0,0
VT,66.1,99.5,33.9,0.5,0,0
MN,55,98,45,2,0,0
KS,44.9,0.5,55.1,99.5,0,0
RI,58.5,99.5,41.5,0.5,0,0
ID,37.5,0.5,62.5,99.5,0,0
KY,40.4,0.5,59.6,99.5,0,0
OK,39.1,0.5,60.9,99.5,0,0
LA,44.9,0.5,55.1,99.5,0,0
MD,69.1,99.5,30.9,0.5,0,0
SD,43.8,0.5,56.2,99.5,0,0
NY,63.1,99.5,36.9,0.5,0,0
NC,51.7,67,48.3,33,0,0
FL,52.4,83,47.6,17,0,0
DC,-1,99.5,-1,0.5,-1,0
OR,58.3,99.5,41.7,0.5,0,0
AL,39.8,0.5,60.2,99.5,0,0
ME,55.2,99,44.8,1,0,0
MI,56.6,99.5,43.4,0.5,0,0
AR,41,0.5,59,99.5,0,0
CT,58.5,99.5,41.5,0.5,0,0
NV,51.1,63,48.9,37,0,0
MA,64.3,99.5,35.7,0.5,0,0
VA,54.7,99.5,45.3,0.5,0,0
CO,53.3,94,46.7,6,0,0
MO,47.7,2,52.3,98,0,0
NH,54.4,96,45.6,4,0,0
HI,68.3,99.5,31.7,0.5,0,0
DE,61,99.5,39,0.5,0,0
WA,58.4,99.5,41.6,0.5,0,0
IA,49.3,29,50.7,71,0,0
WV,36.3,0.5,63.7,99.5,0,0
IN,46.3,0.5,53.7,99.5,0,0
UT,43.2,0.5,56.8,99.5,0,0
SC,46.7,2,53.3,98,0,0
OH,51.4,59,48.6,41,0,0
US,-1,96,-1,4,-1,0
