State,VoteShareD,WinProbD,VoteShareR,WinProbR,VoteShareL,WinProbL
AL,40.0,0.0,60.0,100.0,0,0
AK,48.0,13.0,52.0,87.0,0,0
AZ,47.0,5.0,53.0,95.0,0,0
AR,42.5,0.0,57.5,100.0,0,0
CA,63.0,100.0,37.0,0.0,0,0
CO,51.5,80.0,48.5,20.0,0,0
CT,56.0,100.0,44.0,0.0,0,0
DC,91.5,100.0,8.5,0.0,0,0
DE,57.0,100.0,43.0,0.0,0,0
FL,52.0,87.0,48.0,13.0,0,0
GA,48.0,13.0,52.0,87.0,0,0
HI,65.5,100.0,34.5,0.0,0,0
ID,38.0,0.0,62.0,100.0,0,0
IL,62.5,100.0,37.5,0.0,0,0
IN,43.5,0.0,56.5,100.0,0,0
IA,49.0,29.0,51.0,71.0,0,0
KS,42.5,0.0,57.5,100.0,0,0
KY,40.0,0.0,60.0,100.0,0,0
LA,42.5,0.0,57.5,100.0,0,0
ME,56.5,100.0,43.5,0.0,0,0
MD,60.5,100.0,39.5,0.0,0,0
MA,59.5,100.0,40.5,0.0,0,0
MI,54.0,99.0,46.0,1.0,0,0
MN,53.0,95.0,47.0,5.0,0,0
MS,44.5,0.0,55.5,100.0,0,0
MO,47.0,5.0,53.0,95.0,0,0
MT,43.25,0.0,56.75,100.0,0,0
NE,42.0,0.0,58.0,100.0,0,0
NV,51.75,83.0,48.25,17.0,0,0
NH,52.5,92.0,47.5,8.0,0,0
NJ,57.5,100.0,42.5,0.0,0,0
NM,56.5,100.0,43.5,0.0,0,0
NY,62.0,100.0,38.0,0.0,0,0
NC,50.5,61.0,49.5,39.0,0,0
ND,41.0,0.0,59.0,100.0,0,0
OH,51.5,80.0,48.5,20.0,0,0
OK,40.0,0.0,60.0,100.0,0,0
OR,55.0,100.0,45.0,0.0,0,0
PA,53.5,97.0,46.5,3.0,0,0
RI,57.25,100.0,42.75,0.0,0,0
SC,48.0,13.0,52.0,87.0,0,0
SD,43.5,0.0,56.5,100.0,0,0
TN,43.25,0.0,56.75,100.0,0,0
TX,44.0,0.0,56.0,100.0,0,0
UT,44.75,0.0,55.25,100.0,0,0
VT,64.0,100.0,36.0,0.0,0,0
VA,55.0,100.0,45.0,0.0,0,0
WA,58.5,100.0,41.5,0.0,0,0
WV,39.5,0.0,60.5,100.0,0,0
WI,52.0,87.0,48.0,13.0,0,0
WY,32.5,0.0,67.5,100.0,0,0
US,52.35,95.0,47.65,5.0,0,0
