State,VoteShareD,WinProbD,VoteShareR,WinProbR,VoteShareL,WinProbL
AK,45.5,4,54.5,96,0,0
AL,39.5,0,60.5,100,0,0
AR,44,1,56,99,0,0
AZ,49.5,42,50.5,58,0,0
CA,62.5,100,37.5,0,0,0
CO,52.5,84,47.5,16,0,0
CT,54,95,46,5,0,0
DC,91.5,100,8.5,0,0,0
DE,56,99,44,1,0,0
FL,49.75,46,50.25,54,0,0
GA,48.5,27,51.5,73,0,0
HI,65,100,35,0,0,0
IA,48,21,52,79,0,0
ID,40,0,60,100,0,0
IL,58.5,100,41.5,0,0,0
IN,44.5,1,55.5,99,0,0
KS,44,1,56,99,0,0
KY,38.5,0,61.5,100,0,0
LA,42.5,0,57.5,100,0,0
MA,62,100,38,0,0,0
MD,65,100,35,0,0,0
ME,54,95,46,5,0,0
MI,52,79,48,21,0,0
MN,53.5,92,46.5,8,0,0
MO,47,11,53,89,0,0
MS,48.75,31,51.25,69,0,0
MT,43.5,0,56.5,100,0,0
NC,50,50,50,50,0,0
ND,36,0,64,100,0,0
NE,44.5,1,55.5,99,0,0
NH,52.5,84,47.5,16,0,0
NJ,57.5,100,42.5,0,0,0
NM,54.5,96,45.5,4,0,0
NV,50.5,58,49.5,42,0,0
NY,61,100,39,0,0,0
OH,49,34,51,66,0,0
OK,38,0,62,100,0,0
OR,57.5,100,42.5,0,0,0
PA,52.5,84,47.5,16,0,0
RI,55,98,45,2,0,0
SC,46.5,8,53.5,92,0,0
SD,43,0,57,100,0,0
TN,43.25,0,56.75,100,0,0
TX,47,11,53,89,0,0
UT,44,1,56,99,0,0
VA,53,89,47,11,0,0
VT,62.5,100,37.5,0,0,0
WA,58,100,42,0,0,0
WI,52,79,48,21,0,0
WV,38,0,62,100,0,0
WY,31,0,69,100,0,0
